"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"06","01308","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Contra Costa County (Northeast)--Antioch City",107213,1 
"06","01309","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Contra Costa County (East)--Brentwood & Oakley Cities",103685,1 
"06","01500"," ","CA"," ","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",74593,0.54 
"06","01500","18860","CA","Crescent City, CA (Micro)","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",28610,0.207 
"06","01500","45000","CA","Susanville, CA (Micro)","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",34895,0.253 
"06","01700","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","El Dorado County--El Dorado Hills",181058,1 
"06","01901","23420","CA","Fresno, CA (Metro)","Fresno County (West)--Selma, Kerman & Coalinga Cities",144724,1 
"06","01902","23420","CA","Fresno, CA (Metro)","Fresno County (North Central)--Fresno City (North)",173649,1 
"06","01903","23420","CA","Fresno, CA (Metro)","Fresno County (Central)--Fresno City (East Central)",101880,1 
"06","01904","23420","CA","Fresno, CA (Metro)","Fresno County (Central)--Fresno City (Southwest)",170140,1 
"06","01905","23420","CA","Fresno, CA (Metro)","Fresno County (Central)--Fresno City (Southeast)",108177,1 
"06","01906","23420","CA","Fresno, CA (Metro)","Fresno County (Central)--Clovis City",102642,1 
"06","01907","23420","CA","Fresno, CA (Metro)","Fresno County (East)--Sanger, Reedley & Parlier Cities",129238,1 
"06","02300","21700","CA","Eureka-Arcata-Fortuna, CA (Micro)","Humboldt County",134623,1 
"06","02500","20940","CA","El Centro, CA (Metro)","Imperial County--El Centro City",174528,1 
"06","02901","12540","CA","Bakersfield, CA (Metro)","Kern County (West)--Delano, Wasco & Shafter Cities",189962,1 
"06","02902","12540","CA","Bakersfield, CA (Metro)","Kern County (Central)--Bakersfield City (West)",200370,1 
"06","02903","12540","CA","Bakersfield, CA (Metro)","Kern County (Central)--Bakersfield City (Northeast)",155144,1 
"06","02904","12540","CA","Bakersfield, CA (Metro)","Kern County (Central)--Bakersfield City (Southeast)",107850,1 
"06","02905","12540","CA","Bakersfield, CA (Metro)","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",186305,1 
"06","03100","25260","CA","Hanford-Corcoran, CA (Metro)","Kings County--Hanford City",152982,1 
"06","03300","17340","CA","Clearlake, CA (Micro)","Lake & Mendocino Counties",64665,0.424 
"06","03300","46380","CA","Ukiah, CA (Micro)","Lake & Mendocino Counties",87841,0.576 
"06","03701","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North/Unincorporated)--Castaic",139801,1 
"06","03702","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Northwest)--Santa Clarita City",188102,1 
"06","03703","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North Central)--Lancaster City",163632,1 
"06","03704","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North Central)--Palmdale City",164268,1 
"06","03705","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",166932,1 
"06","03706","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",136414,1 
"06","03707","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",150967,1 
"06","03708","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",136833,1 
"06","03709","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--San Gabriel Valley Region (North)",110202,1 
"06","03710","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",174037,1 
"06","03711","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities",163941,1 
"06","03712","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--Pomona City",146895,1 
