"cbsa","state","puma12","stab","cbsaname15","PUMAname","pop14","afact"
"CBSA current as of CBSAyr","FIPS state","puma12","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","cbsa to puma12 alloc factor"
" ","37","00200","NC"," ","Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",10879,0.001 
" ","37","00400","NC"," ","Granville, Person & Caswell Counties",23082,0.001 
" ","37","00500","NC"," ","Franklin, Vance & Warren (West) Counties",14289.615,0.001 
" ","37","00600","NC"," ","Halifax, Hertford, Northampton & Warren (East) Counties",30249.385,0.002 
" ","37","00700","NC"," ","Northeast Albemarle Sound Region",14572,0.001 
" ","37","00800","NC"," ","South & West Albemarle Sound & Northern Outer Banks Regions",61806,0.003 
" ","37","01000","NC"," ","Wilson & Greene Counties--Wilson City",21093,0.001 
" ","37","02300","NC"," ","Haywood, Madison, Swain, Graham & Jackson (North) Counties",22918,0.001 
" ","37","02400","NC"," ","Jackson (South), Macon, Cherokee & Clay Counties",71597,0.004 
" ","37","02600","NC"," ","Rutherford, Cleveland (West) & Polk Counties--Shelby City",20357,0.001 
" ","37","03700","NC"," ","Moore & Montgomery Counties",27395,0.001 
" ","37","03900","NC"," ","Sampson & Duplin Counties",123932,0.007 
" ","37","04900","NC"," ","Columbus, Bladen & Robeson (East) Counties",91610,0.005 
" ","37","05300","NC"," ","Union (East) & Anson Counties--Monroe City",25765,0.001 
" ","38","00100","ND"," ","West North Dakota--Minot City",62321,0.003 
" ","38","00200","ND"," ","East Central North Dakota--Jamestown City",88189,0.005 
" ","38","00300","ND"," ","South Central North Dakota--Bismarck City",10591,0.001 
" ","38","00400","ND"," ","Northeast North Dakota--Grand Forks City",36619,0.002 
" ","39","00100","OH"," ","Defiance, Williams, Henry & Paulding Counties",84217,0.005 
" ","39","02300","OH"," ","Seneca, Crawford & Wyandot Counties",22353,0.001 
" ","39","02400","OH"," ","Hancock & Putnam Counties",34171,0.002 
" ","39","02700","OH"," ","Logan, Champaign & Hardin Counties",31796,0.002 
" ","39","02900","OH"," ","Holmes, Guernsey & Coshocton Counties",43898,0.002 
" ","39","03000","OH"," ","Tuscarawas & Harrison Counties",15543,0.001 
" ","39","03600","OH"," ","Washington, Morgan, Noble & Monroe Counties",43671,0.002 
" ","39","04500","OH"," ","Darke, Shelby & Preble Counties",41586,0.002 
" ","39","04900","OH"," ","Jackson, Hocking, Pike & Vinton Counties",41490,0.002 
" ","39","05000","OH"," ","Athens, Gallia & Meigs Counties",23331,0.001 
" ","39","05200","OH"," ","Highland, Clinton & Adams Counties",71174,0.004 
" ","40","00100","OK"," ","Northeast Oklahoma",107368,0.006 
" ","40","00200","OK"," ","Cherokee, Sequoyah & Adair Counties",22186,0.001 
" ","40","00300","OK"," ","Southeast Oklahoma",82925,0.004 
" ","40","00400","OK"," ","Southwest Oklahoma",33593,0.002 
" ","40","00500","OK"," ","Panhandle & Northwest Oklahoma",73434,0.004 
" ","40","00602","OK"," ","Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties",43237,0.002 
" ","40","00701","OK"," ","Carter, Garvin, Murray, Love & Pontotoc (West) Counties",51137,0.003 
" ","40","00702","OK"," ","Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City",46888,0.003 
" ","40","01302","OK"," ","Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties",20088,0.001 
" ","40","01400","OK"," ","Garfield, Kay & Noble Counties--Enid City",11494,0.001 
" ","40","01501","OK"," ","Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City",51413,0.003 
" ","41","00100","OR"," ","Umatilla, Union, Baker & Wallowa Counties",22879,0.001 
" ","41","00200","OR"," ","North Central Oregon--The Dalles City",34389,0.002 
" ","41","00300","OR"," ","Klamath, Malheur, Lake & Harney Counties",14964,0.001 
" ","41","00500","OR"," ","Columbia, Lincoln, Clatsop & Tillamook Counties",25342,0.001 
" ","42","00300","PA"," ","Clearfield, McKean, Elk, Potter & Cameron Counties",22011,0.001 
" ","42","00400","PA"," ","Bradford, Tioga & Sullivan Counties",48613,0.003 
" ","42","00500","PA"," ","Pike, Wayne & Susquehanna Counties",93321,0.005 
" ","42","01100","PA"," ","Mifflin, Union, Snyder & Juniata Counties",24796,0.001 
" ","42","01300","PA"," ","Venango, Jefferson, Clarion & Forest Counties",90977,0.005 
" ","42","03800","PA"," ","Somerset, Bedford & Fulton Counties",63578,0.003 
" ","42","04002","PA"," ","Washington (South) & Greene Counties",37843,0.002 
" ","45","00700","SC"," ","Lancaster, Chesterfield & Marlboro Counties",46125,0.003 
" ","45","00800","SC"," ","Sumter, Clarendon, Williamsburg & Lee Counties--Sumter City",85151,0.005 
" ","45","01000","SC"," ","Georgetown, Marion & Dillon Counties",63060,0.003 
" ","45","01300","SC"," ","Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties",105012,0.006 
" ","45","01600","SC"," ","Greenwood, Abbeville & McCormick Counties",9846,0.001 
" ","46","00100","SD"," ","West South Dakota--Rapid City",14581,0.001 
" ","46","00200","SD"," ","Lakota Region",81607,0.004 
" ","46","00300","SD"," ","Northeast South Dakota",62453,0.003 
" ","46","00400","SD"," ","Jackrabbit Region",59064,0.003 
" ","47","00100","TN"," ","Northwest Tennessee--Gibson, Dyer, Obion, Crockett & Lake Counties",57103,0.003 
" ","47","00200","TN"," ","Land Between the Lakes--Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties",70917,0.004 
" ","47","00300","TN"," ","Montgomery & Stewart Counties--Clarksville City",13279,0.001 
" ","47","00600","TN"," ","Warren, Macon, Smith, DeKalb, Cannon & Trousdale Counties",19268,0.001 
" ","47","00700","TN"," ","Putnam, Overton, Jackson, Clay & Pickett Counties",12889,0.001 
" ","47","00800","TN"," ","Cumberland, White, Fentress & Van Buren Counties",49789,0.003 
" ","47","00900","TN"," ","Campbell, Claiborne, Scott, Morgan & Hancock Counties",60236,0.003 
" ","47","01200","TN"," ","Greene, Carter, Unicoi & Johnson Counties",17859,0.001 
" ","47","01800","TN"," ","Roane, Loudon & Monroe Counties--Oak Ridge City (West)",45233,0.002 
" ","47","02100","TN"," ","Rhea, Marion, Sequatchie, Grundy, Bledsoe & Meigs Counties",39057,0.002 
" ","47","02200","TN"," ","Coffee, Franklin, Lincoln & Moore Counties",33637,0.002 
" ","47","02800","TN"," ","Lawrence, Giles, Wayne, Lewis & Perry Counties",65494,0.004 
" ","47","02900","TN"," ","Henderson, Hardeman, McNairy, Hardin, Haywood & Decatur Counties",117777,0.006 
" ","47","03100","TN"," ","Tipton, Fayette & Lauderdale Counties",27382,0.001 
" ","48","00100","TX"," ","Panhandle Regional Planning Commission (Outside Potter & Randall Counties)",90552,0.005 
" ","48","00400","TX"," ","South Plains Association of Governments (Outside Lubbock County)",60461,0.003 
" ","48","00600","TX"," ","North Texas Regional Planning Commission (Outside Wichita County) & Wise County",56831,0.003 
" ","48","01000","TX"," ","Ark-Tex COG (West)",41027,0.002 
" ","48","01100","TX"," ","Ark-Tex COG (East)--Bowie & Cass Counties",30261,0.002 
" ","48","01200","TX"," ","East Texas COG (Northeast)--Harrison, Upshur & Marion Counties",10149,0.001 
" ","48","01300","TX"," ","East Texas COG (Northwest)--Van Zandt, Wood, Camp & Rains Counties",119415,0.006 
" ","48","01700","TX"," ","East Texas COG (Southeast)--Rusk, Cherokee & Panola Counties",23769,0.001 
